Date,SPY,GLD
2020-08-10,332.81341552734375,190.14999389648438
2020-08-11,330.066162109375,179.94000244140625
2020-08-12,334.6680603027344,179.10000610351562
2020-08-13,334.0630187988281,183.3300018310547
2020-08-14,334.0729675292969,182.5399932861328
2020-08-17,335.1341857910156,186.5
2020-08-18,335.85821533203125,188.17999267578125
2020-08-19,334.45977783203125,182.24000549316406
2020-08-20,335.50115966796875,183.5
2020-08-21,336.6912841796875,182.02999877929688
2020-08-24,340.1030578613281,181.0
2020-08-25,341.2931823730469,181.22000122070312
2020-08-26,344.71484375,183.36000061035156
2020-08-27,345.46856689453125,181.24000549316406
2020-08-28,347.7001037597656,184.38999938964844
2020-08-31,346.4405517578125,184.8300018310547
2020-09-01,349.7035217285156,185.0500030517578
2020-09-02,354.7616271972656,182.6199951171875
2020-09-03,342.5527648925781,181.13999938964844
2020-09-04,339.7558898925781,181.63999938964844
2020-09-08,330.4727783203125,181.2899932861328
2020-09-09,336.9987487792969,183.0500030517578
2020-09-10,331.147216796875,182.4600067138672
2020-09-11,331.3157958984375,182.4499969482422
2020-09-14,335.6796569824219,183.88999938964844
2020-09-15,337.3756408691406,183.4499969482422
2020-09-16,336.0367126464844,183.97000122070312
2020-09-17,333.0812072753906,182.9600067138672
2020-09-18,329.24652099609375,183.1999969482422
2020-09-21,325.5821533203125,179.52000427246094
2020-09-22,328.89801025390625,178.64999389648438
2020-09-23,321.2705383300781,174.7899932861328
2020-09-24,322.12689208984375,175.44000244140625
2020-09-25,327.3346862792969,174.94000244140625
2020-09-28,332.7715148925781,176.6999969482422
2020-09-29,330.959228515625,178.19000244140625
2020-09-30,333.46856689453125,177.1199951171875
2020-10-01,335.6094055175781,178.6999969482422
2020-10-02,332.4230041503906,178.5399932861328
2020-10-05,338.31787109375,179.41000366210938
2020-10-06,333.50836181640625,177.3000030517578
2020-10-07,339.3136291503906,177.22000122070312
2020-10-08,342.32080078125,177.85000610351562
2020-10-09,345.3777770996094,181.0800018310547
2020-10-12,350.93408203125,180.55999755859375
2020-10-13,348.64385986328125,177.72000122070312
2020-10-14,346.45318603515625,178.27000427246094
2020-10-15,346.0250244140625,178.9199981689453
2020-10-16,345.81591796875,178.3000030517578
